"state"	"fips"	"county"	"mukey"	"musym"	"muname"	"cokey"	"comppct"	"slope"	"slopelenusle"	"hzdept_r"	"hzdepb_r"	"kffact"	"dbthirdbar_r"	"ph1to1h2o_r"	"wthirdbar_r"	"wfifteenbar_r"	"awc_r"	"claytotal_r"	"sandtotal_r"	"ksat_r"	"om_r"	"ll_r"	"texdesc"
"IA"	"IA169"	"Story"	"411275"	"108"	"Wadena loam, 0 to 2 percent slopes"	"16195730"	"85"	"1"	"27"	"0"	"18"	".28"	"1.3"	"5.9"	"27"	"12.9"	"0.18"	"21"	"40"	"9.17"	"2.5"	"36"	"Loam"
"IA"	"IA169"	"Story"	"411275"	"108"	"Wadena loam, 0 to 2 percent slopes"	"16195730"	"85"	"1"	"27"	"18"	"43"	".28"	"1.3"	"6.3"	"25.3"	"10.8"	"0.18"	"20"	"45"	"9.17"	"1"	"32"	"Loam"
"IA"	"IA169"	"Story"	"411275"	"108"	"Wadena loam, 0 to 2 percent slopes"	"16195730"	"85"	"1"	"27"	"43"	"76"	".28"	"1.5"	"6.5"	"25.8"	"11.5"	"0.18"	"20"	"50"	"9.17"	"0.25"	"31"	"Loam"
"IA"	"IA169"	"Story"	"411275"	"108"	"Wadena loam, 0 to 2 percent slopes"	"16195730"	"85"	"1"	"27"	"76"	"200"	".02"	"1.6"	"7.9"	"10.3"	"3.5"	"0.09"	"6"	"85"	"91.74"	"0.25"	"17"	"Gravelly loamy coarse sand"
"IA"	"IA169"	"Story"	"411275"	"108"	"Wadena loam, 0 to 2 percent slopes"	"16195731"	"10"	"4"		"20"	"33"	".20"	"1.3"	"6.3"	"18.7"	"9.8"	"0.13"	"17"	"58"	"28.23"	"1"	"29"	"Sandy loam"
"IA"	"IA169"	"Story"	"411275"	"108"	"Wadena loam, 0 to 2 percent slopes"	"16195731"	"10"	"4"		"33"	"48"	".20"	"1.5"	"6.5"	"17.5"	"8.5"	"0.12"	"14"	"68"	"28.23"	"0.25"	"25"	"Sandy loam"
"IA"	"IA169"	"Story"	"411275"	"108"	"Wadena loam, 0 to 2 percent slopes"	"16195731"	"10"	"4"		"0"	"20"	".20"	"1.3"	"5.9"	"20.1"	"11.5"	"0.13"	"17"	"57"	"28.23"	"2.5"	"33"	"Sandy loam"
"IA"	"IA169"	"Story"	"411275"	"108"	"Wadena loam, 0 to 2 percent slopes"	"16195731"	"10"	"4"		"48"	"200"	".02"	"1.6"	"7.9"	"10.3"	"3.5"	"0.09"	"6"	"85"	"91.74"	"0.25"	"17"	"Gravelly loamy coarse sand"
"IA"	"IA169"	"Story"	"411275"	"108"	"Wadena loam, 0 to 2 percent slopes"	"16195732"	"4"	"1"		"0"	"20"	".24"	"1.43"	"6.5"	"31.9"	"19.3"	"0.21"	"24.5"	"38.8"	"9"	"4.5"	"44"	"Loam"
"IA"	"IA169"	"Story"	"411275"	"108"	"Wadena loam, 0 to 2 percent slopes"	"16195732"	"4"	"1"		"20"	"46"	".24"	"1.43"	"6.5"	"30.4"	"16.8"	"0.21"	"24.5"	"38.8"	"9"	"2.5"	"40"	"Loam"
